company,source,company_slug,n_roles,roles,job_urls,subject,body
Openai,ashby,openai,2,"Trust & Safety Operations Analyst, Ads; Trust & Safety Operations Analyst, Ads",https://jobs.ashbyhq.com/openai/c9e9e3a5-fb93-4162-b876-6266016819c0; https://jobs.ashbyhq.com/openai/26e8c199-7dcb-4144-b263-f35220421a6d,Vetted data analysts for your 2 open analyst roles,"Hi Openai team,

I saw you're hiring for Trust & Safety Operations Analyst, Ads. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Trust & Safety Operations Analyst, Ads (San Francisco) — https://jobs.ashbyhq.com/openai/c9e9e3a5-fb93-4162-b876-6266016819c0
  - Trust & Safety Operations Analyst, Ads (San Francisco) — https://jobs.ashbyhq.com/openai/26e8c199-7dcb-4144-b263-f35220421a6d

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Brex,greenhouse,brex,7,Data Analyst II; Data Analyst II; Data Analyst II; Data Analyst III; Data Analyst III; Payment Operations Analyst; Payment Operations Analyst,https://www.brex.com/careers/8463702002?gh_jid=8463702002; https://www.brex.com/careers/8463696002?gh_jid=8463696002; https://www.brex.com/careers/8463703002?gh_jid=8463703002; https://www.brex.com/careers/8463699002?gh_jid=8463699002; https://www.brex.com/careers/8463704002?gh_jid=8463704002; https://www.brex.com/careers/8597771002?gh_jid=8597771002; https://www.brex.com/careers/8597895002?gh_jid=8597895002,Vetted data analysts for your 7 open analyst roles,"Hi Brex team,

I saw you're hiring for Data Analyst II and 2 other analyst roles. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Data Analyst II (New York, New York, United States) — https://www.brex.com/careers/8463702002?gh_jid=8463702002
  - Data Analyst II (San Francisco, California, United States) — https://www.brex.com/careers/8463696002?gh_jid=8463696002
  - Data Analyst II (São Paulo, São Paulo, Brazil) — https://www.brex.com/careers/8463703002?gh_jid=8463703002
  - Data Analyst III (San Francisco, California, United States) — https://www.brex.com/careers/8463699002?gh_jid=8463699002
  - Data Analyst III (New York, New York, United States) — https://www.brex.com/careers/8463704002?gh_jid=8463704002
  - Payment Operations Analyst (Salt Lake City, Utah, United States) — https://www.brex.com/careers/8597771002?gh_jid=8597771002
  - Payment Operations Analyst (Vancouver, British Columbia, Canada) — https://www.brex.com/careers/8597895002?gh_jid=8597895002

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Chime,greenhouse,chime,1,"Insights Analyst, Dispute Experience",https://boards.greenhouse.io/chime/jobs/8565199002?gh_jid=8565199002,"Vetted data analysts for your Insights Analyst, Dispute Experience opening","Hi Chime team,

I saw you're hiring for Insights Analyst, Dispute Experience. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Insights Analyst, Dispute Experience (Remote, USA) — https://boards.greenhouse.io/chime/jobs/8565199002?gh_jid=8565199002

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Datadog,greenhouse,datadog,3,Billing Operations Analyst; GTM Strategy and Operations Analyst - Boston; Order Operations Analyst,https://careers.datadoghq.com/detail/7899542/?gh_jid=7899542; https://careers.datadoghq.com/detail/8026780/?gh_jid=8026780; https://careers.datadoghq.com/detail/8034852/?gh_jid=8034852,Vetted data analysts for your 3 open analyst roles,"Hi Datadog team,

I saw you're hiring for Billing Operations Analyst and 2 other analyst roles. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Billing Operations Analyst (Denver, Colorado, USA) — https://careers.datadoghq.com/detail/7899542/?gh_jid=7899542
  - GTM Strategy and Operations Analyst - Boston (Boston, Massachusetts, USA) — https://careers.datadoghq.com/detail/8026780/?gh_jid=8026780
  - Order Operations Analyst (Singapore, Singapore) — https://careers.datadoghq.com/detail/8034852/?gh_jid=8034852

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Flexport,greenhouse,flexport,1,Product Data Analyst,https://job-boards.greenhouse.io/flexport/jobs/8040985,Vetted data analysts for your Product Data Analyst opening,"Hi Flexport team,

I saw you're hiring for Product Data Analyst. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Product Data Analyst (Shanghai, China) — https://job-boards.greenhouse.io/flexport/jobs/8040985

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Instacart,greenhouse,instacart,1,Catalog Operations Analyst II,https://instacart.careers/job/?gh_jid=7967305,Vetted data analysts for your Catalog Operations Analyst II opening,"Hi Instacart team,

I saw you're hiring for Catalog Operations Analyst II. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Catalog Operations Analyst II (Canada - Remote (ON, AB, BC, or NS Only)) — https://instacart.careers/job/?gh_jid=7967305

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Klaviyo,greenhouse,klaviyo,3,Compliance Operations Analyst; Compliance Operations Analyst; Compliance Operations Analyst,https://www.klaviyo.com/careers/jobs/7723889003?gh_jid=7723889003; https://www.klaviyo.com/careers/jobs/7710203003?gh_jid=7710203003; https://www.klaviyo.com/careers/jobs/7723890003?gh_jid=7723890003,Vetted data analysts for your 3 open analyst roles,"Hi Klaviyo team,

I saw you're hiring for Compliance Operations Analyst. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Compliance Operations Analyst (Denver, CO) — https://www.klaviyo.com/careers/jobs/7723889003?gh_jid=7723889003
  - Compliance Operations Analyst (Boston, MA) — https://www.klaviyo.com/careers/jobs/7710203003?gh_jid=7710203003
  - Compliance Operations Analyst (San Francisco, CA) — https://www.klaviyo.com/careers/jobs/7723890003?gh_jid=7723890003

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Lyft,greenhouse,lyft,5,"Data Analyst; Data Analyst, Autonomous Vehicles; Data Analyst - Global Growth Luxury Strategy; Data Analyst, Operations Planning; Data Analyst, SMB Self-Serve",https://app.careerpuck.com/job-board/lyft/job/8401126002?gh_jid=8401126002; https://app.careerpuck.com/job-board/lyft/job/8545543002?gh_jid=8545543002; https://app.careerpuck.com/job-board/lyft/job/8514400002?gh_jid=8514400002; https://app.careerpuck.com/job-board/lyft/job/8568512002?gh_jid=8568512002; https://app.careerpuck.com/job-board/lyft/job/8615418002?gh_jid=8615418002,Vetted data analysts for your 5 open analyst roles,"Hi Lyft team,

I saw you're hiring for Data Analyst and 4 other analyst roles. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Data Analyst (Toronto, Canada) — https://app.careerpuck.com/job-board/lyft/job/8401126002?gh_jid=8401126002
  - Data Analyst, Autonomous Vehicles (Toronto, Canada) — https://app.careerpuck.com/job-board/lyft/job/8545543002?gh_jid=8545543002
  - Data Analyst - Global Growth Luxury Strategy (New York, NY) — https://app.careerpuck.com/job-board/lyft/job/8514400002?gh_jid=8514400002
  - Data Analyst, Operations Planning (New York, NY) — https://app.careerpuck.com/job-board/lyft/job/8568512002?gh_jid=8568512002
  - Data Analyst, SMB Self-Serve (Toronto, Canada) — https://app.careerpuck.com/job-board/lyft/job/8615418002?gh_jid=8615418002

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Mongodb,greenhouse,mongodb,1,Sales Operations Analyst,https://www.mongodb.com/careers/job/?gh_jid=8015833,Vetted data analysts for your Sales Operations Analyst opening,"Hi Mongodb team,

I saw you're hiring for Sales Operations Analyst. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Sales Operations Analyst (Gurugram) — https://www.mongodb.com/careers/job/?gh_jid=8015833

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
Samsara,greenhouse,samsara,1,Partner Operations Analyst,https://www.samsara.com/company/careers/roles/8010288?gh_jid=8010288,Vetted data analysts for your Partner Operations Analyst opening,"Hi Samsara team,

I saw you're hiring for Partner Operations Analyst. Rather than sorting through
hundreds of cold applications, I can send you 2-3 candidates who are
trained, vetted, and ready to interview.

I run Data in Motion (https://datainmotion.co), a data analytics training community.
Our graduates are job-ready in SQL, Excel, Tableau/Power BI, and Python,
and I personally vouch for the people I refer.

The roles I'm referring to:
  - Partner Operations Analyst (Remote - US) — https://www.samsara.com/company/careers/roles/8010288?gh_jid=8010288

Would you be open to a quick chat?

Best,
YOUR NAME
Data in Motion | https://datainmotion.co
"
